BK,2018/7/19,1.03,1.022,0.8,2018-04-24T16:00:00,2018-10-12T16:00:00
COO,2018/6/7,2.86,2.836,0.8,2018-03-13T16:00:00,2018-08-31T16:00:00
HPQ,2018/5/29,0.48,0.476,0.8,2018-03-02T16:00:00,2018-08-22T16:00:00
BDX,2018/5/3,2.65,2.628,0.8,2018-02-06T16:00:00,2018-07-30T16:00:00
MXIM,2018/1/25,0.65,0.645,0.8,2017-10-27T16:00:00,2018-04-23T16:00:00
EMN,2018/7/26,2.22,2.204,0.7,2018-05-01T16:00:00,2018-10-19T16:00:00
ALK,2018/7/26,1.66,1.648,0.7,2018-05-01T16:00:00,2018-10-19T16:00:00
AXP,2018/7/18,1.84,1.827,0.7,2018-04-23T16:00:00,2018-10-11T16:00:00
COP,2018/7/26,1.09,1.083,0.6,2018-05-01T16:00:00,2018-10-19T16:00:00
UPS,2018/7/25,1.94,1.929,0.6,2018-04-30T16:00:00,2018-10-18T16:00:00
RE,2018/7/30,0.98,0.975,0.5,2018-05-03T16:00:00,2018-10-23T16:00:00
AMG,2018/7/30,3.61,3.591,0.5,2018-05-03T16:00:00,2018-10-23T16:00:00
WELL,2018/7/27,1,0.995,0.5,2018-05-02T16:00:00,2018-10-22T16:00:00
MMM,2018/7/24,2.59,2.576,0.5,2018-04-27T16:00:00,2018-10-17T16:00:00
EXR,2018/7/31,1.15,1.145,0.4,2018-05-04T16:00:00,2018-10-24T16:00:00
PLD,2018/7/17,0.71,0.708,0.3,2018-04-20T16:00:00,2018-10-10T16:00:00
RJF,2018/4/25,1.63,1.625,0.3,2018-01-29T16:00:00,2018-07-20T16:00:00
DG,2017/8/31,1.1,1.092,0.3,2017-06-07T16:00:00,2017-11-27T16:00:00
SLG,2018/7/18,1.69,1.686,0.2,2018-04-23T16:00:00,2018-10-11T16:00:00
ECL,2018/7/31,1.27,1.269,0.1,2018-05-04T16:00:00,2018-10-24T16:00:00
ARE,2018/7/30,1.64,1.638,0.1,2018-05-03T16:00:00,2018-10-23T16:00:00
WMB,2018/8/1,0.17,0.17,0,2018-05-07T16:00:00,2018-10-25T16:00:00
MAC,2018/8/1,0.96,0.96,0,2018-05-07T16:00:00,2018-10-25T16:00:00
IVZ,2018/7/26,0.66,0.66,0,2018-05-01T16:00:00,2018-10-19T16:00:00
SBUX,2018/4/26,0.53,0.53,0,2018-01-30T16:00:00,2018-07-23T16:00:00
O,2018/8/1,0.79,0.791,-0.1,2018-05-07T16:00:00,2018-10-25T16:00:00
CL,2018/7/27,0.77,0.771,-0.1,2018-05-02T16:00:00,2018-10-22T16:00:00
ITW,2018/7/23,1.97,1.971,-0.1,2018-04-26T16:00:00,2018-10-16T16:00:00
SNPS,2018/5/23,1.08,1.081,-0.1,2018-02-27T16:00:00,2018-08-17T16:00:00
GIS,2017/12/20,0.82,0.821,-0.1,2017-09-26T16:00:00,2018-03-20T16:00:00
WRK,2018/4/27,0.83,0.832,-0.2,2018-01-31T16:00:00,2018-07-24T16:00:00
DGX,2018/7/24,1.75,1.756,-0.3,2018-04-27T16:00:00,2018-10-17T16:00:00
HLT,2018/7/25,0.7,0.703,-0.4,2018-04-30T16:00:00,2018-10-18T16:00:00
NUE,2018/7/19,2.08,2.087,-0.4,2018-04-24T16:00:00,2018-10-12T16:00:00
KEYS,2018/5/30,0.83,0.833,-0.4,2018-03-05T16:00:00,2018-08-23T16:00:00
PAYX,2017/12/21,0.59,0.593,-0.5,2017-09-27T16:00:00,2018-03-21T16:00:00
KR,2017/9/8,0.39,0.392,-0.5,2017-06-14T16:00:00,2017-12-04T16:00:00
WLTW,2018/8/2,1.7,1.712,-0.7,2018-05-08T16:00:00,2018-10-26T16:00:00
HAL,2018/7/23,0.58,0.584,-0.7,2018-04-26T16:00:00,2018-10-16T16:00:00
HOLX,2018/5/2,0.53,0.534,-0.7,2018-02-05T16:00:00,2018-07-27T16:00:00
JKHY,2018/2/6,0.8,0.806,-0.7,2017-11-08T16:00:00,2018-05-03T16:00:00
EBAY,2018/7/18,0.51,0.512,-0.8,2018-04-23T16:00:00,2018-10-11T16:00:00
BLL,2018/8/2,0.58,0.586,-1,2018-05-08T16:00:00,2018-10-26T16:00:00
MMC,2018/7/26,1.1,1.111,-1,2018-05-01T16:00:00,2018-10-19T16:00:00
AIV,2018/8/2,0.63,0.636,-1.1,2018-05-08T16:00:00,2018-10-26T16:00:00
PSA,2018/8/1,2.57,2.605,-1.3,2018-05-07T16:00:00,2018-10-25T16:00:00
AJG,2018/7/26,0.62,0.629,-1.4,2018-05-01T16:00:00,2018-10-19T16:00:00
HBI,2018/8/1,0.45,0.457,-1.5,2018-05-07T16:00:00,2018-10-25T16:00:00
PFG,2018/7/26,1.35,1.371,-1.5,2018-05-01T16:00:00,2018-10-19T16:00:00
