HON,2018/7/20,2.12,2.013,5.3,2018-04-25T16:00:00,2018-10-15T16:00:00
EL,2018/2/2,1.52,1.443,5.3,2017-11-06T16:00:00,2018-05-01T16:00:00
CHD,2018/8/2,0.49,0.466,5.2,2018-05-08T16:00:00,2018-10-26T16:00:00
HST,2018/8/7,0.54,0.514,5.1,2018-05-11T16:00:00,2018-10-31T16:00:00
PWR,2018/8/2,0.59,0.562,5,2018-05-08T16:00:00,2018-10-26T16:00:00
VZ,2018/7/24,1.2,1.143,5,2018-04-27T16:00:00,2018-10-17T16:00:00
HUM,2018/8/1,3.96,3.775,4.9,2018-05-07T16:00:00,2018-10-25T16:00:00
TMO,2018/7/25,2.75,2.622,4.9,2018-04-30T16:00:00,2018-10-18T16:00:00
ETN,2018/7/31,1.39,1.326,4.8,2018-05-04T16:00:00,2018-10-24T16:00:00
ALLE,2018/7/26,1.25,1.193,4.8,2018-05-01T16:00:00,2018-10-19T16:00:00
NTRS,2018/7/18,1.71,1.631,4.8,2018-04-23T16:00:00,2018-10-11T16:00:00
MDLZ,2018/7/25,0.56,0.535,4.7,2018-04-30T16:00:00,2018-10-18T16:00:00
RHI,2018/7/24,0.89,0.854,4.7,2018-04-27T16:00:00,2018-10-17T16:00:00
MDT,2017/11/21,1.07,1.022,4.7,2017-08-28T16:00:00,2018-02-20T16:00:00
PG,2018/1/23,1.19,1.139,4.5,2017-10-25T16:00:00,2018-04-19T16:00:00
MAA,2018/8/1,1.55,1.484,4.4,2018-05-07T16:00:00,2018-10-25T16:00:00
CRM,2017/8/22,0.33,0.316,4.4,2017-05-26T16:00:00,2017-11-15T16:00:00
KSS,2017/8/10,1.24,1.188,4.4,2017-05-16T16:00:00,2017-11-03T16:00:00
AMP,2018/7/24,3.6,3.453,4.3,2018-04-27T16:00:00,2018-10-17T16:00:00
AVGO,2018/6/7,4.88,4.677,4.3,2018-03-13T16:00:00,2018-08-31T16:00:00
BEN,2018/4/26,0.78,0.748,4.3,2018-01-30T16:00:00,2018-07-23T16:00:00
TEL,2018/4/25,1.42,1.362,4.3,2018-01-29T16:00:00,2018-07-20T16:00:00
IQV,2018/7/24,1.29,1.238,4.2,2018-04-27T16:00:00,2018-10-17T16:00:00
CBRE,2018/8/2,0.74,0.711,4.1,2018-05-08T16:00:00,2018-10-26T16:00:00
AKAM,2018/7/31,0.83,0.797,4.1,2018-05-04T16:00:00,2018-10-24T16:00:00
AON,2018/7/27,1.71,1.642,4.1,2018-05-02T16:00:00,2018-10-22T16:00:00
GLW,2018/7/25,0.38,0.365,4.1,2018-04-30T16:00:00,2018-10-18T16:00:00
PH,2018/2/1,2.15,2.066,4.1,2017-11-03T16:00:00,2018-04-30T16:00:00
MCHP,2017/11/6,1.41,1.354,4.1,2017-08-11T16:00:00,2018-02-02T16:00:00
IFF,2018/8/7,1.66,1.596,4,2018-05-11T16:00:00,2018-10-31T16:00:00
CMG,2018/7/26,2.87,2.76,4,2018-05-01T16:00:00,2018-10-19T16:00:00
VRSN,2018/7/26,1.18,1.135,4,2018-05-01T16:00:00,2018-10-19T16:00:00
PNC,2018/7/13,2.68,2.574,4,2018-04-18T16:00:00,2018-10-08T16:00:00
ROK,2018/4/25,1.89,1.818,4,2018-01-29T16:00:00,2018-07-20T16:00:00
XLNX,2017/10/25,0.65,0.625,4,2017-08-01T16:00:00,2018-01-23T16:00:00
CCI,2018/7/18,1.26,1.213,3.9,2018-04-23T16:00:00,2018-10-11T16:00:00
